	samples	labels	predictions	dairy	eel	feces	fresh meat	herring	mackerel	processed meat	salmon	shrimp	spices/herbs/vegetables	trout	experiment
83	L01817	eel	eel	0.0	0.608	0.0	0.006690476190476189	0.05600000000000001	0.0	0.32430952380952377	0.003	0.0	0.002	0.0	Source_2
84	L00360	fresh meat	fresh meat	0.0	0.0	0.0	0.9550757575757576	0.024	0.00030952380952380956	0.009924242424242424	0.005690476190476191	0.0	0.002	0.003	Source_2
85	L01616	fresh meat	fresh meat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
86	L01835	processed meat	processed meat	0.0	0.0	0.002	0.2930629181808528	0.0	0.0	0.7029370818191466	0.0	0.001	0.001	0.0	Source_2
87	L00985	fresh meat	fresh meat	0.0	0.0	0.002	0.6571807196071903	0.002	0.069	0.009819280392809805	0.26	0.0	0.0	0.0	Source_2
88	L01048	fresh meat	fresh meat	0.0	0.0	0.0	0.9561571428571427	0.032	0.0	0.010842857142857142	0.0	0.0	0.0	0.001	Source_2
89	L01183	processed meat	fresh meat	0.0	0.0	0.0	0.6817535714285714	0.0	0.0	0.3182464285714285	0.0	0.0	0.0	0.0	Source_2
90	L01259	processed meat	fresh meat	0.0	0.0	0.001	0.9889333333333333	0.001	0.0	0.007066666666666667	0.002	0.0	0.0	0.0	Source_2
0	L00287	salmon	salmon	0.0	0.0	0.0	0.047450000000000006	0.0	0.0	0.26454999999999995	0.655	0.001	0.006	0.026	Source_2
1	L00413	processed meat	fresh meat	0.0	0.0	0.0	0.7997889166389162	0.0	0.0	0.20021108336108354	0.0	0.0	0.0	0.0	Source_2
2	L00536	fresh meat	dairy	0.633	0.0	0.189	0.169	0.0	0.0	0.0	0.002	0.0	0.0	0.007	Source_2
3	L00692	fresh meat	fresh meat	0.0	0.0	0.0	0.9520313492063491	0.0	0.0	0.0479686507936508	0.0	0.0	0.0	0.0	Source_2
4	L00743	fresh meat	fresh meat	0.0	0.0	0.0	0.9771190476190474	0.0	0.0	0.020880952380952382	0.002	0.0	0.0	0.0	Source_2
5	L00819	fresh meat	fresh meat	0.0	0.0	0.0	0.5061833333333333	0.0	0.0	0.49381666666666674	0.0	0.0	0.0	0.0	Source_2
6	L00845	fresh meat	fresh meat	0.0	0.0	0.0	0.7600834812933891	0.0	0.0	0.2399165187066117	0.0	0.0	0.0	0.0	Source_2
7	L00853	fresh meat	fresh meat	0.0	0.0	0.0	0.5078847402597405	0.0	0.0	0.49211525974025955	0.0	0.0	0.0	0.0	Source_2
8	L00941	fresh meat	fresh meat	0.0	0.0	0.0	0.5078847402597405	0.0	0.0	0.49211525974025955	0.0	0.0	0.0	0.0	Source_2
9	L01001	salmon	salmon	0.0	0.011266666666666666	0.0	0.0952238095238095	0.002	0.0	0.2647761904761904	0.611	0.0	0.005	0.010733333333333333	Source_2
10	L01084	trout	trout	0.0	0.0	0.0	0.07897619047619045	0.0	0.0	0.06802380952380951	0.3795333333333333	0.0	0.0	0.4734666666666667	Source_2
11	L01109	salmon	mackerel	0.0	0.05974761904761904	0.0	0.2789	0.001	0.369	0.0761	0.023	0.151	0.008	0.03325238095238094	Source_2
12	L01120	fresh meat	fresh meat	0.0	0.0	0.0	0.7838166666666667	0.002	0.001	0.12318333333333333	0.009	0.003	0.004	0.074	Source_2
13	L01307	fresh meat	fresh meat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
14	L01419	processed meat	feces	0.0	0.0	0.613	0.16599494949494947	0.0	0.0	0.010005050505050505	0.201	0.0	0.01	0.0	Source_2
15	L01494	fresh meat	fresh meat	0.0	0.0	0.0	0.999	0.0	0.0	0.001	0.0	0.0	0.0	0.0	Source_2
16	L00294	salmon	salmon	0.0	0.0	0.0	0.0	0.002	0.0	0.001	0.996	0.0	0.0	0.001	Source_2
17	L00545	fresh meat	fresh meat	0.0	0.0	0.0	0.8637762987012987	0.0	0.0	0.1362237012987013	0.0	0.0	0.0	0.0	Source_2
18	L00612	fresh meat	fresh meat	0.0	0.0	0.0	0.539734523809524	0.001	0.0	0.4592654761904762	0.0	0.0	0.0	0.0	Source_2
19	L00673	processed meat	fresh meat	0.0	0.0	0.0	0.8526216250176099	0.0	0.0	0.14737837498239412	0.0	0.0	0.0	0.0	Source_2
20	L00748	salmon	fresh meat	0.0	0.104	0.0	0.772	0.015	0.0	0.045	0.02	0.001	0.043	0.0	Source_2
21	L00760	mackerel	fresh meat	0.0	0.108	0.0	0.791	0.015	0.0	0.026	0.019	0.001	0.04	0.0	Source_2
22	L00813	processed meat	processed meat	0.0	0.001	0.0	0.1366078431372549	0.0005	0.00016666666666666666	0.859892156862745	0.0018333333333333335	0.0	0.0	0.0	Source_2
23	L00841	fresh meat	fresh meat	0.0	0.0	0.0	0.9246005543833988	0.0	0.0	0.07539944561660232	0.0	0.0	0.0	0.0	Source_2
24	L00887	fresh meat	fresh meat	0.0	0.0	0.0	0.6484382936507936	0.002	0.0	0.16156170634920636	0.0	0.0	0.187	0.001	Source_2
25	L01031	herring	herring	0.0	0.0	0.0	0.0	0.999	0.0	0.0	0.0	0.0	0.001	0.0	Source_2
26	L01044	herring	herring	0.0	0.0	0.0	0.0	0.999	0.0	0.0	0.0	0.0	0.001	0.0	Source_2
27	L01197	fresh meat	fresh meat	0.0	0.0005	0.001	0.7542466450216446	0.0035	0.0	0.23525335497835498	0.005	0.0	0.0	0.0005	Source_2
28	L01243	fresh meat	fresh meat	0.0	0.0	0.0	0.7056	0.003	0.002	0.2734	0.014	0.0	0.001	0.001	Source_2
29	L01305	fresh meat	fresh meat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
30	L01308	shrimp	shrimp	0.0	0.0	0.0	0.02723333333333333	0.34	0.0	0.015766666666666665	0.0	0.616	0.001	0.0	Source_2
31	L01369	trout	trout	0.0	0.0	0.0	0.09193301241242416	0.0	0.0	0.017066987587575824	0.0	0.0	0.023	0.868	Source_2
32	L01375	trout	trout	0.0	0.0	0.002	0.09875444098385275	0.002	0.0	0.019245559016147253	0.0	0.0	0.024	0.854	Source_2
33	L01409	fresh meat	fresh meat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
34	L01487	fresh meat	fresh meat	0.0	0.0	0.0	0.7176	0.003	0.002	0.2754	0.0	0.0	0.001	0.001	Source_2
35	L00642	fresh meat	fresh meat	0.0	0.0	0.0	0.9555865079365079	0.001	0.0	0.03541349206349207	0.0	0.008	0.0	0.0	Source_2
36	L00715	fresh meat	fresh meat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
37	L00775	processed meat	fresh meat	0.0	0.0	0.0	0.8526216250176099	0.0	0.0	0.14737837498239412	0.0	0.0	0.0	0.0	Source_2
38	L00850	processed meat	fresh meat	0.0	0.014	0.0	0.5521666666666667	0.19	0.013	0.10983333333333334	0.061	0.008	0.041	0.011	Source_2
39	L00857	fresh meat	fresh meat	0.0	0.0	0.0	0.982	0.0	0.0	0.018	0.0	0.0	0.0	0.0	Source_2
40	L01081	eel	fresh meat	0.0	0.042	0.001	0.722	0.098	0.001	0.026	0.035	0.001	0.072	0.002	Source_2
41	L01119	fresh meat	processed meat	0.0	0.0	0.003	0.45641111111111116	0.0	0.0	0.5395888888888889	0.0	0.001	0.0	0.0	Source_2
42	L01125	salmon	salmon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Source_2
43	L01191	processed meat	processed meat	0.0	0.0	0.0	0.4317531746031746	0.003	0.0	0.5612468253968254	0.0	0.003	0.001	0.0	Source_2
44	L01260	salmon	salmon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Source_2
45	L01412	fresh meat	fresh meat	0.0	0.0	0.0	0.9246005543833988	0.0	0.0	0.07539944561660232	0.0	0.0	0.0	0.0	Source_2
