	samples	labels	predictions	dairy, cattle	eel, aquatic products	feces, small ruminants	fresh meat, cattle	fresh meat, chicken	fresh meat, game	fresh meat, small ruminants	fresh meat, swine	fresh meat, turkey	herring, aquatic products	mackerel, aquatic products	processed meat, cattle	processed meat, chicken	processed meat, swine	processed meat, turkey	salmon, aquatic products	shrimp, aquatic products	spices/herbs/vegetables, plants	trout, aquatic products	experiment
84	L00956	fresh meat, chicken	processed meat, cattle	0.0	0.0	0.0	0.13407600308641976	0.003472222222222222	0.0	0.003472222222222222	0.1076388888888889	0.003472222222222222	0.0	0.0	0.7478684413580248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
85	L01004	fresh meat, cattle	processed meat, cattle	0.0	0.0	0.0	0.08680555555555555	0.003472222222222222	0.0	0.3194444444444444	0.0	0.006944444444444444	0.0	0.0	0.5659722222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.017361111111111112	Source_2n1_up
86	L01028	mackerel, aquatic products	salmon, aquatic products	0.0	0.0	0.0	0.1165098404681738	0.2534722222222222	0.0	0.013888888888888888	0.0015220700152207	0.0	0.003472222222222222	0.0	0.02932349286515953	0.04513888888888889	0.019311263318112632	0.0	0.5173611111111112	0.0	0.0	0.0	Source_2n1_up
87	L01065	fresh meat, cattle	fresh meat, cattle	0.0	0.0	0.0	0.9519097222222221	0.006944444444444444	0.0	0.0	0.0	0.0	0.0	0.0	0.009895833333333333	0.0	0.0	0.0	0.027777777777777776	0.003472222222222222	0.0	0.0	Source_2n1_up
88	L01238	trout, aquatic products	fresh meat, cattle	0.0	0.0	0.0	0.3784722222222222	0.24305555555555555	0.0	0.05555555555555555	0.0015220700152207	0.0	0.1388888888888889	0.0	0.0	0.11805555555555555	0.008894596651445966	0.0	0.052083333333333336	0.0	0.003472222222222222	0.0	Source_2n1_up
89	L01434	processed meat, cattle	processed meat, cattle	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.013888888888888888	0.0	0.0	0.0	0.9409722222222222	0.0	0.0	0.0	0.0	0.003472222222222222	0.0	0.0	Source_2n1_up
0	L01056	mackerel, aquatic products	salmon, aquatic products	0.0	0.03540615939485928	0.003472222222222222	0.027777777777777776	0.1539351851851852	0.0	0.003472222222222222	0.0	0.020833333333333332	0.0	0.024305555555555556	0.034722222222222224	0.057870370370370364	0.0	0.006944444444444444	0.59375	0.0	0.024305555555555556	0.01320495171625184	Source_2n1_up
1	L00287	salmon, aquatic products	salmon, aquatic products	0.0	0.0	0.0	0.006944444444444444	0.04513888888888889	0.0	0.0	0.0	0.003472222222222222	0.0	0.0	0.22916666666666666	0.04513888888888889	0.0	0.0	0.6458333333333334	0.0	0.003472222222222222	0.020833333333333332	Source_2n1_up
2	L00496	processed meat, cattle	fresh meat, small ruminants	0.0	0.0	0.0	0.3368055555555556	0.22916666666666666	0.0	0.3611111111111111	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	Source_2n1_up
3	L00577	fresh meat, chicken	fresh meat, chicken	0.0	0.0	0.0	0.013888888888888888	0.8333333333333334	0.0	0.0	0.0	0.06166843711325672	0.0	0.0	0.0	0.0	0.0	0.08763711844229885	0.0	0.0	0.0	0.003472222222222222	Source_2n1_up
4	L00656	fresh meat, turkey	fresh meat, turkey	0.0	0.0	0.0	0.003472222222222222	0.12152777777777778	0.0	0.0	0.0	0.8611111111111112	0.0	0.0	0.010416666666666666	0.003472222222222222	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
